2022-02-28 00:27:09,675 DEBUG    server Сервер запущен с параметрами: ip - 127.0.0.1 port - 8888
2022-02-28 00:27:09,678 DEBUG    decorators check_ip_port вызвана из функции main с аргументами ('127.0.0.1', 8888), {}. Результат: True
2022-02-28 00:27:10,680 INFO     server Получено 0 сообщений
2022-02-28 00:27:10,680 INFO     server 0 пользователей ожидают сообщения
2022-02-28 00:27:11,681 INFO     server Получено 0 сообщений
2022-02-28 00:27:11,681 INFO     server 0 пользователей ожидают сообщения
2022-02-28 00:27:12,104 INFO     server Получен запрос на соединение от ('127.0.0.1', 53756)
2022-02-28 00:27:12,104 INFO     server Установлено соединение с <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 53756)>
2022-02-28 00:27:12,104 INFO     server Получено 0 сообщений
2022-02-28 00:27:12,104 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:13,105 INFO     server Получено 0 сообщений
2022-02-28 00:27:13,106 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:14,107 INFO     server Получено 0 сообщений
2022-02-28 00:27:14,107 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:15,108 INFO     server Получено 0 сообщений
2022-02-28 00:27:15,108 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:15,617 INFO     server Получен запрос на соединение от ('127.0.0.1', 53758)
2022-02-28 00:27:15,617 INFO     server Установлено соединение с <socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 53758)>
2022-02-28 00:27:15,617 INFO     server Получено 1 сообщений
